label,count,split
rewrite_transport,17756,train
typeclass_instance_resolution,13714,train
order_inequality_reasoning,11992,train
case_analysis,10327,train
algebraic_computation,9559,train
set_membership_reasoning,7994,train
theorem_application,7431,train
existential_construction,6571,train
contradiction_negation,5508,train
topology_filter_limit,3374,train
simplification_normalization,2660,train
measure_ae_reasoning,2357,train
category_morphism_reasoning,1800,train
induction_recursion,618,train
extensionality,53,train
rewrite_transport,2013,val
typeclass_instance_resolution,1663,val
order_inequality_reasoning,1530,val
case_analysis,1174,val
algebraic_computation,1108,val
set_membership_reasoning,1057,val
theorem_application,871,val
existential_construction,798,val
contradiction_negation,560,val
topology_filter_limit,510,val
measure_ae_reasoning,339,val
simplification_normalization,289,val
category_morphism_reasoning,204,val
induction_recursion,58,val
extensionality,2,val
rewrite_transport,2217,test
typeclass_instance_resolution,1699,test
order_inequality_reasoning,1674,test
case_analysis,1330,test
algebraic_computation,1079,test
set_membership_reasoning,975,test
theorem_application,926,test
existential_construction,796,test
contradiction_negation,721,test
topology_filter_limit,477,test
measure_ae_reasoning,397,test
simplification_normalization,328,test
category_morphism_reasoning,272,test
induction_recursion,101,test
rewrite_transport,631,demo
typeclass_instance_resolution,517,demo
order_inequality_reasoning,429,demo
case_analysis,358,demo
algebraic_computation,299,demo
theorem_application,299,demo
existential_construction,264,demo
set_membership_reasoning,238,demo
category_morphism_reasoning,232,demo
topology_filter_limit,147,demo
contradiction_negation,142,demo
measure_ae_reasoning,135,demo
simplification_normalization,70,demo
induction_recursion,20,demo
extensionality,2,demo
